,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
0,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601225,2017-04-12T00:00:00,DEN @ OKC,W,40.211666666666666,9,14,0.643,0,0,0.0,11,14,0.786,2,14,16,8,4,1,5,2,4,10,29,9,74.2,1,0,65.0,1,1,1,1,1,14,23,24,34,54,34,1,1,33,38,3,5,11,8,14,1,62,51,1,6,24,1,1,7,1,1,40:13
1,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601214,2017-04-11T00:00:00,DEN @ DAL,W,19.585,3,6,0.5,1,3,0.333,0,0,0.0,1,7,8,4,1,0,0,1,2,1,7,-7,21.6,0,0,20.0,1,1,1,1,64,60,62,50,12,10,27,56,57,56,54,31,46,36,48,40,36,39,13,59,65,58,61,40,7,59,1,19:35
2,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601198,2017-04-09T00:00:00,DEN vs. OKC,L,31.471666666666668,8,16,0.5,1,5,0.2,6,6,1.0,1,5,6,3,3,1,1,0,5,4,23,-3,37.7,0,0,37.0,1,38,38,38,27,20,15,50,12,2,30,6,8,1,54,44,53,50,17,14,14,1,62,19,15,51,38,40,7,33,1,31:28
3,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601184,2017-04-07T00:00:00,DEN vs. NOP,W,29.066666666666666,9,13,0.692,2,2,1.0,3,4,0.75,3,9,12,5,7,2,0,0,1,3,23,18,43.9,1,0,46.0,1,1,1,1,34,14,28,16,2,26,1,24,22,35,20,19,22,25,1,6,36,1,2,30,15,10,28,1,7,19,1,29:04
4,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601168,2017-04-05T00:00:00,DEN @ HOU,L,33.86666666666667,6,17,0.353,0,5,0.0,0,0,0.0,3,16,19,9,2,5,1,0,3,5,12,8,64.3,1,0,52.0,1,38,38,38,19,39,11,66,34,2,34,56,57,56,20,1,2,8,31,1,14,1,29,10,49,26,2,1,7,10,1,33:52
5,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601158,2017-04-04T00:00:00,DEN @ NOP,W,33.50333333333333,10,18,0.556,0,2,0.0,1,2,0.5,4,8,12,4,1,0,0,3,2,4,21,-8,40.4,1,0,37.0,1,1,1,1,21,11,8,42,34,26,34,45,37,48,14,23,22,36,48,40,36,71,13,19,21,60,34,1,7,33,1,33:30
6,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601149,2017-04-02T00:00:00,DEN @ MIA,W,35.18666666666667,9,16,0.563,0,2,0.0,1,1,1.0,1,9,10,7,1,2,0,1,2,5,19,16,46.5,1,0,40.0,1,1,1,1,13,14,15,41,34,26,34,45,52,1,54,19,35,16,48,6,36,39,13,10,26,16,25,1,7,28,1,35:11
7,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601127,2017-03-31T00:00:00,DEN @ CHA,L,36.63333333333333,11,16,0.688,2,3,0.667,2,3,0.667,3,10,13,10,2,0,0,3,4,5,26,3,54.6,1,1,51.0,1,38,38,38,7,9,15,18,2,10,7,33,31,41,20,14,17,4,31,40,36,71,51,10,12,41,13,1,1,12,1,36:38
8,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601109,2017-03-28T00:00:00,DEN @ POR,L,35.96666666666667,7,14,0.5,1,6,0.167,2,2,1.0,3,5,8,8,3,0,2,1,4,1,17,-8,41.6,0,0,38.0,1,38,38,38,9,30,23,50,12,1,33,33,37,1,20,44,46,11,17,40,6,39,51,59,34,60,32,40,7,31,1,35:58
9,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601095,2017-03-26T00:00:00,DEN vs. NOP,L,18.333333333333332,4,14,0.286,0,3,0.0,0,0,0.0,3,10,13,2,0,0,0,1,3,0,8,-6,26.6,0,0,23.0,1,38,38,38,70,54,23,69,34,10,34,56,57,56,20,14,17,58,67,40,36,39,29,67,60,55,56,40,7,55,1,18:20
10,2016-17,203999,Nikola Jokić,Nikola,1610612743,DEN,Denver Nuggets,0021601075,2017-03-24T00:00:00,DEN @ IND,W,34.376666666666665,12,18,0.667,1,2,0.5,5,5,1.0,4,12,16,5,4,1,0,1,2,3,30,9,55.7,1,0,54.0,1,1,1,1,15,6,8,21,12,26,13,9,14,1,14,6,5,25,8,14,36,39,13,30,4,24,11,1,7,7,1,34:23
